,phrase,Y,Yhat (GPT4o),confidence
0,going to a dinner party and,0.5,0.7,0.7999999999999999
1,A moody,0.5,0.4,0.8
2,murderer,0.31944,0.1,0.8
3,sophisticated and surprising,0.79167,0.7,0.7999999999999999
4,", loud , bang-the-drum",0.625,0.3,0.8
5,and verbal clichés,0.38889,0.3,0.8
6,"( Moore 's ) better at fingering problems than finding solutions . But though he only scratches the surface , at least he provides a strong itch to explore more",0.59722,0.4,0.8
7,piecing the story together frustrating difficult,0.22222,0.2,0.8
8,plenty of funny movies,0.66667,0.8,0.7999999999999999
9,"do so again-courage , self-sacrifice and patience under pressure",0.66667,0.7,0.7999999999999999
10,simply too discouraging,0.40278,0.2,0.8
11,drawing me,0.5,0.5,0.8
12,suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .,0.94444,0.8,0.7999999999999999
13,audience,0.5,0.5,0.8
14,trips him,0.5,0.3,0.8
15,is its surreal sense of humor and technological finish,0.72222,0.7,0.7999999999999999
16,"rich , shadowy black-and-white",0.72222,0.4,0.8
17,resorting to hyperbole,0.38889,0.3,0.8
18,fare .,0.56944,0.5,0.8
19,women,0.5,0.5,0.8
20,guarantee,0.65278,0.5,0.8
21,replete with rewards to be had by all willing to make the effort to reap them,0.75,0.8,0.7999999999999999
22,curiosa,0.5,0.5,0.8
23,feature director,0.5,0.5,0.8
24,its fully-written characters,0.75,0.5,0.8
25,go hand in hand,0.61111,0.7,0.7999999999999999
26,satisfactory . The art demands live viewing . The innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen,0.69444,0.4,0.8
27,a rancorous curiosity : a movie without an apparent audience,0.23611,0.2,0.8
28,Carrey,0.5,0.5,0.8
29,A cautionary tale about the folly of superficiality that is itself,0.52778,0.3,0.8
30,"get the idea , though",0.61111,0.4,0.8
31,the notion,0.5,0.5,0.8
32,the higher brain functions as well as,0.5,0.5,0.8
33,"a bad premise , just",0.097222,0.2,0.8
34,the right film,0.72222,0.5,0.8
35,"you never want to see another car chase , explosion or gunfight again",0.18056,0.2,0.8
36,more salacious telenovela,0.55556,0.3,0.8
37,that claims so many lives around her,0.5,0.1,0.8
38,", comparable to the classic films of Jean Renoir",0.63889,0.8,0.7999999999999999
39,elemental,0.5,0.5,0.8
40,"for the family , amusing and cute",0.77778,0.8,0.7999999999999999
41,is the kind of film that could only be made by African-Americans because of its broad racial insensitivity towards African-Americans .,0.30556,0.2,0.8
42,in Iran,0.5,0.5,0.6000000000000001
43,to be the 21st Century 's new `` Conan '',0.48611,0.5,0.8
44,"rounded characters , but then",0.55556,0.4,0.8
45,"is smart , not cloying",0.56944,0.7,0.7999999999999999
46,"too much about this love story . In that setting , their struggle is simply too ludicrous and borderline insulting",0.22222,0.2,0.8
47,", one hopes Mr. Plympton will find room for one more member of his little band , a professional screenwriter .",0.54167,0.4,0.8
48,Clueless,0.23611,0.3,0.8
49,is Caddyshack crossed with the Loyal Order of Raccoons,0.43056,0.5,0.8
50,incurious,0.41667,0.3,0.8
51,'s also not very good,0.19444,0.2,0.8
52,This dubious product of a college-spawned ( Colgate U . ) comedy ensemble known as Broken Lizard,0.33333,0.3,0.8
53,is just SOOOOO tired,0.18056,0.2,0.8
54,but The Bourne Identity proves that a fresh take is always possible .,0.81944,0.8,0.7999999999999999
55,a director many viewers,0.54167,0.4,0.8
56,Reign of Fire just might go down as one of the all-time great apocalypse movies .,0.69444,0.8,0.7999999999999999
57,"that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history",0.83333,0.7,0.7999999999999999
58,Kjell,0.43056,0.5,0.8
59,While Broomfield 's film does n't capture the effect of these tragic deaths on hip-hop culture,0.38889,0.3,0.8
60,"we do n't get Williams ' usual tear and a smile , just sneers and bile , and the spectacle is nothing short of refreshing",0.58333,0.7,0.7999999999999999
61,"a tight , brisk 85-minute screwball thriller ,",0.48611,0.7,0.7999999999999999
62,far from Zhang 's,0.41667,0.3,0.8
63,"to sort the bad guys from the good , which is its essential problem .",0.43056,0.3,0.8
64,a summer popcorn movie .,0.5,0.7,0.7999999999999999
65,I 've always dreamed of attending Cannes,0.56944,0.8,0.7999999999999999
66,plummets into a comedy graveyard before Janice comes racing to the rescue in the final reel,0.72222,0.3,0.8
67,Too campy to work as straight drama and too violent and sordid to function as comedy,0.26389,0.2,0.8
68,what experiences you bring to it and,0.58333,0.5,0.8
69,foreign culture only,0.34722,0.3,0.8
70,will he be,0.5,0.5,0.8
71,to be daring and original,0.66667,0.8,0.7999999999999999
72,terrorist,0.29167,0.1,0.8
73,at the appointed time and place,0.5,0.5,0.8
74,reminding us,0.5,0.5,0.8
75,lots of downtime in between,0.44444,0.3,0.8
76,Digital-video documentary about stand-up comedians is a great glimpse into a very different world .,0.79167,0.8,0.7999999999999999
77,"'s a tour de force , written and directed so quietly that it 's implosion rather than explosion you fear",0.29167,0.7,0.7999999999999999
78,Eyre 's failings,0.44444,0.2,0.8
79,captures the often futile lifestyle of young people in modern Japan .,0.5,0.3,0.8
80,"it 's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more",0.86111,0.8500000000000001,0.9
81,surfaces,0.5,0.5,0.8
82,cheesier to cheesiest,0.38889,0.5,0.8
83,fascist past,0.33333,0.1,0.8
84,the hefty audio system,0.51389,0.4499999999999999,0.7
85,wanted so badly,0.5,0.3,0.8
86,its formidable arithmetic,0.44444,0.5,0.8
87,intellect and feeling,0.65278,0.5,0.8
88,", let alone funny",0.23611,0.2,0.8
89,there 's no saving the movie,0.097222,0.1,0.8
90,my big fat greek,0.41667,0.5,0.8
91,so much as distill it,0.43056,0.4,0.8
92,Straightforward and old-fashioned,0.76389,0.5,0.8
93,preprogrammed feel,0.33333,0.4,0.8
94,"is murder by numbers , and as easy to be bored by as your ABC 's ,",0.25,0.2,0.8
95,"learns her place as a girl , softens up and loses some of the intensity that made her an interesting character to begin with",0.30556,0.2,0.8
96,i 'm all for the mentally challenged getting their fair shot in the movie business,0.48611,0.7,0.7999999999999999
97,"its best , which occurs often",0.48611,0.7,0.7999999999999999
98,"Replacing John Carpenter 's stylish tracking shots is degraded , handheld Blair Witch video-cam footage . Of all the Halloween 's , this is the most visually unappealing .",0.15278,0.2,0.8
99,no unforgettably stupid stunts or,0.54167,0.3,0.8
100,like no other film in recent history,0.72222,0.7,0.7999999999999999
101,into modern L . A,0.5,0.4499999999999999,0.7
102,"a film , while at the same time being a most touching reconsideration of the familiar masterpiece",0.75,0.7,0.7999999999999999
103,are on display,0.51389,0.5,0.8
104,'re the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,0.125,0.2,0.8
105,not his plot,0.43056,0.3,0.8
106,the Blair Witch formula,0.48611,0.3,0.8
107,"Time literally stops on a dime in the tries-so-hard-to-be-cool '' Clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life .",0.15278,0.2,0.8
108,like a dope,0.59722,0.4499999999999999,0.7
109,"It 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",0.76389,0.8,0.7999999999999999
110,next movie,0.33333,0.5,0.8
111,is unsettling,0.25,0.2,0.8
112,respectably muted,0.59722,0.4,0.8
113,"a haunted house , a haunted ship , what 's next ...",0.56944,0.3,0.8
114,"the middle , the film compels",0.66667,0.5,0.8
115,snowballs out of control,0.13889,0.2,0.8
116,as well as an actor,0.5,0.5,0.8
117,complex and important film,0.75,0.7,0.7999999999999999
118,a hint,0.66667,0.5,0.8
119,A porn film without the sex scenes,0.43056,0.2,0.8
120,"resembles a real-life , big-budget NC-17 version of Tank Girl",0.34722,0.3,0.8
121,"It 's a smart , funny look at an arcane area of popular culture",0.81944,0.8,0.7999999999999999
122,frothing ex-girlfriend,0.44444,0.2,0.8
123,"Though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial .",0.48611,0.5,0.8
124,is the way it avoids the more serious emotions involved .,0.38889,0.3,0.8
125,But the actors make this worth a peek .,0.72222,0.7,0.7999999999999999
126,through thick and thin,0.54167,0.8,0.7999999999999999
127,rehashes several old themes,0.30556,0.3,0.8
128,taken in large doses,0.43056,0.3,0.8
129,double-barreled rip-off,0.16667,0.1,0.8
130,", noisy and pretentious",0.26389,0.2,0.8
131,"is repeated at least four times . Every joke is repeated at least -- annoying , is n't it ?",0.083333,0.2,0.8
132,for trolls,0.43056,0.3,0.8
133,good will of the parents and ` vain ' Jia 's defoliation of ego,0.55556,0.4,0.8
134,disquiet world,0.51389,0.3,0.8
135,an anticipated audience,0.66667,0.5,0.8
136,You expect more from director Michael Apted ( Enigma ) and screenwriter Nicholas Kazan ( Reversal of Fortune ) than this cliche pileup .,0.125,0.2,0.8
137,a great piece,0.83333,0.8,0.7999999999999999
138,Man,0.5,0.5,0.8
139,"Some elements of it really blow the big one , but other parts are decent",0.51389,0.4,0.8
140,is an Actress has its moments in looking at the comic effects of jealousy,0.59722,0.5,0.8
141,a natural sense,0.51389,0.5,0.8
142,careful what you wish for,0.5,0.3,0.8
143,the working poor,0.48611,0.2,0.8
144,implies,0.5,0.5,0.8
145,own immaturity,0.44444,0.2,0.8
146,"is richly detailed , deftly executed and utterly absorbing .",0.94444,0.8500000000000001,0.9
147,pinks,0.5,0.5,0.8
148,", but it has clearly been made with affection and care .",0.77778,0.7,0.7999999999999999
149,cinematic devices,0.5,0.5,0.8
150,tortured and unsettling,0.34375,0.1,0.8
151,enjoy mindless action,0.65278,0.7,0.7999999999999999
152,capture its visual appeal or its atmosphere,0.61111,0.5,0.8
153,this in the right frame of mind,0.625,0.7,0.7999999999999999
154,those who have not read the book,0.5,0.4,0.8
155,uncomfortably close to coasting in the treads of The Bicycle Thief,0.48611,0.3,0.8
