,headline,source,topic,Y,Yhat (GPT4o),confidence
0,Adjuvants in COVID-19 vaccines can kill,Facebook,covid,misinfo,misinfo,0.8
1,Watch: Seven Classic 'Saturday Night Live' Sketches That Would Be Banned in Today's Woke Climate,breitbart,climate,misinfo,misinfo,0.6
2,Model Failures: Inflated Pandemic Estimates Weaken Climate Forecasts,climatedepot,climate,misinfo,misinfo,0.7
3,"In 21st Century, Environmental Policy Is Economic Policy",realclearpolitics,climate,real,real,0.9
4,Egypt Ministry of Health says it has 600 thousand plasma donors for COVID19 patients.,facebook,covid,misinfo,misinfo,0.7
5,Man Dies After Taking Chloroquine for Coronavirus,webmd.com,covid,real,real,0.9
6,"""World TB Day 2020: It's Time for solidarity""",who.int,covid,real,real,0.9
7,"Pediatric Coronavirus Disease (COVID-19) X-Ray, CT in Review of New Lung Disorders",sciencedaily.com,covid,real,real,0.85
8,Landmark UN report emphasizes crucial role of regenerative farming practices to address climate & food emergencies,sottnet,climate,misinfo,real,0.85
9,Biden Pledges Ambitious Climate Action. Here's What He Could Actually Do.,thenewyorktimes,climate,real,real,0.9
10,"Claim from an ""uncle"" who ""graduated with a master's degree"" and worked at Shenzhen Hospital offers advice on COVID-19 symptoms and treatment.",Facebook,covid,misinfo,misinfo,0.7
11,"A chain that circulates through WhatsApp that says that the coronavirus is not a virus, ""as we have been led to believe"", but is ""a bacterium, amplified by 5G electromagnetic radiation that also produces inflammation and hypoxia"".",Whatsapp,covid,misinfo,misinfo,0.9
12,Greta Thunberg speech on climate change: 5 things we can learn from the schoolgirl leading youth climate strikes across the globe,eveningstandard,climate,real,real,0.9
13,The Great Climate Migration Begins,slate,climate,real,real,0.85
14,Doc Suspended for Exposing Poor Social-Distancing Practices,webmd.com,covid,real,real,0.85
15,MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan,theindependent,climate,real,real,0.9
16,The Daily 202: Trump's move to weaken key environmental law could sideline communities of color,washingtonpost,climate,real,real,0.85
17,Brazils Bolsonaro would unleash a war on the environment Fabiano Maisonnave,theguardianuk,climate,real,real,0.85
18,American biologists created a deadly coronavirus back in 2015.,Facebook,covid,misinfo,misinfo,0.8
19,Obama implicitly criticizes Trump over language that 'feeds climate of fear and hatred'  as it happened,theguardian,climate,real,real,0.9
20,Christmas shows our approach to climate change is crackers,theirishtimes,climate,real,misinfo,0.5
21,COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,webmd.com,covid,real,real,0.8
22,Boil your dishcloths How to make your everyday environment cleaner than a toilet seat,theguardianuk,climate,real,real,0.85
23,The climate change protests making headlines,bbcuk,climate,real,real,0.9
24,Can Extinction Rebellion Build a U.S. Climate Movement Big Enough to Save the Earth?,theintercept,climate,real,real,0.85
25,"Uhuru Kenyatta Foundation is giving out Ksh10,000 to each Kenyan as lockdown relief funds.",Website,covid,misinfo,misinfo,0.85
26,Climate activists lose High Court case against Government,theirishtimes,climate,real,real,0.85
27,Feds accept New Brunswick's consumer carbon tax plan,ipolitics,climate,real,real,0.9
28,Consuming large doses of Vitamin C can stop the spread of coronavirus.,Facebook,covid,misinfo,misinfo,0.8
29,Jay Inslee Demands Climate Action Now: 'The World's On Fire',thehuffingtonpost,climate,real,real,0.85
30,New federal cash for climate change action and a five-year phase out for nicotine-based pesticides,ipolitics,climate,real,real,0.85
31,Lockdown Could Worsen Hearing Woes for Seniors,webmd.com,covid,real,real,0.85
